timestamp_ms,csv_idx,body_name,des_pos_x,des_pos_y,des_pos_z,act_pos_x,act_pos_y,act_pos_z,pos_err_x,pos_err_y,pos_err_z,pos_err_norm,des_quat_w,des_quat_x,des_quat_y,des_quat_z,act_quat_w,act_quat_x,act_quat_y,act_quat_z,orient_err_angle
880,6,INDEX_EE,0.157673,0.004571,0.032708,0.155840,0.020328,0.033680,0.001833,-0.015757,-0.000972,0.015893,0.952834,-0.298070,-0.000731,-0.057117,0.999925,-0.004400,0.011429,0.000049,0.608559
880,6,MIDDLE_EE,0.160176,-0.038673,0.043576,0.164221,-0.039593,0.033716,-0.004045,0.000919,0.009859,0.010696,0.982927,-0.010322,-0.018413,-0.182783,0.991376,-0.002169,0.012181,-0.130464,0.123477
901,7,PALM,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.993686,-0.053831,-0.098219,0.006614,0.999988,-0.004579,-0.001985,0.000109,0.217070
901,7,THUMB_EE,0.103479,0.073447,-0.008515,0.038048,0.102940,0.008228,0.065431,-0.029493,-0.016743,0.073698,0.810914,-0.501657,-0.121003,0.275910,0.648311,-0.658611,-0.266243,0.273932,0.538895
901,7,INDEX_EE,0.157729,0.004572,0.032414,0.155837,0.020339,0.033572,0.001892,-0.015767,-0.001158,0.015923,0.952279,-0.299961,-0.000933,-0.056468,0.999915,-0.004580,0.012223,0.000044,0.611923
901,7,MIDDLE_EE,0.160242,-0.038672,0.043338,0.164217,-0.039580,0.033598,-0.003975,0.000908,0.009740,0.010559,0.982983,-0.009760,-0.016166,-0.182727,0.991365,-0.002229,0.013027,-0.130467,0.121821
919,7,PALM,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.993686,-0.053831,-0.098219,0.006614,0.999987,-0.004749,-0.001998,0.000110,0.216893
919,7,THUMB_EE,0.103479,0.073447,-0.008515,0.038054,0.102934,0.008136,0.065425,-0.029487,-0.016651,0.073670,0.810914,-0.501657,-0.121003,0.275910,0.648110,-0.658832,-0.265942,0.274167,0.539070
919,7,INDEX_EE,0.157729,0.004572,0.032414,0.155833,0.020350,0.033463,0.001896,-0.015778,-0.001050,0.015926,0.952279,-0.299961,-0.000933,-0.056468,0.999904,-0.004750,0.013024,0.000039,0.611656
919,7,MIDDLE_EE,0.160242,-0.038672,0.043338,0.164212,-0.039569,0.033478,-0.003970,0.000896,0.009860,0.010667,0.982983,-0.009760,-0.016166,-0.182727,0.991352,-0.002279,0.013882,-0.130471,0.122629
